#\kappa_tau,\kappa_tau_tilde,\lnLog
-1.94,-1.82,272.4577553817637
-1.94,-1.8,269.6689971323635
-1.94,-1.78,266.89888140217215
-1.94,-1.76,264.14712700887833
-1.94,-1.74,261.4118576476414
-1.94,-1.72,258.6951226899775
-1.94,-1.7,255.9946169536735
-1.94,-1.68,253.30128600055963
-1.94,-1.66,250.61538601027766
-1.94,-1.64,247.94398348415206
-1.94,-1.62,245.28510457780882
-1.94,-1.6,242.6364287678299
-1.94,-1.58,240.00456194799193
-1.94,-1.56,237.3973458567107
-1.94,-1.54,234.80736160655
-1.94,-1.52,232.2441180519551
-1.94,-1.5,229.726200506521
-1.94,-1.48,227.23030308242485
-1.94,-1.46,224.75096192608876
-1.94,-1.44,222.28007703811974
-1.94,-1.42,219.81955877252094
-1.94,-1.4,217.36786010935904
-1.94,-1.38,214.93067881022304
-1.94,-1.36,212.5083349450752
-1.94,-1.34,210.12209932849618
-1.94,-1.32,207.76066699203653
-1.94,-1.3,205.4291027581854
-1.94,-1.28,203.1266620595435
-1.94,-1.26,200.84901655823165
-1.94,-1.24,198.5825557848144
-1.94,-1.22,196.34850324875276
-1.94,-1.2,194.14411359788113
-1.94,-1.18,191.97629996961078
-1.94,-1.16,189.83292803170747
-1.94,-1.14,187.70578872898216
-1.94,-1.12,185.5914194246951
-1.94,-1.1,183.49975525237255
-1.94,-1.08,181.4324192424935
-1.94,-1.06,179.39708286972916
-1.94,-1.04,177.3914140258861
-1.94,-1.02,175.42863687034392
-1.94,-1.0,173.49631298992375
-1.94,-0.98,171.6100674383187
-1.94,-0.96,169.76339768943018
-1.94,-0.94,167.96351188653657
-1.94,-0.92,166.1936584032767
-1.94,-0.9,164.4428822372913
-1.94,-0.88,162.6960200848581
-1.94,-0.86,160.94410151378983
-1.94,-0.84,159.21324559116027
-1.94,-0.82,157.5229056621033
-1.94,-0.8,155.87805961345478
-1.94,-0.78,154.29104439771652
-1.94,-0.76,152.7397769940591
-1.94,-0.74,151.22501366203107
-1.94,-0.72,149.73495819127078
-1.94,-0.7,148.28514650925368
-1.94,-0.68,146.8652241444133
-1.94,-0.66,145.49660133623726
-1.94,-0.64,144.16784193080926
-1.94,-0.62,142.89701008209994
-1.94,-0.6,141.67855053440348
-1.94,-0.58,140.50716615503129
-1.94,-0.56,139.34328055449606
-1.94,-0.54,138.16661447991976
-1.94,-0.52,136.99534532108424
-1.94,-0.5,135.8789141139954
-1.94,-0.48,134.83222088835274
-1.94,-0.46,133.82935668961406
-1.94,-0.44,132.86256980734208
-1.94,-0.42,131.95488529118785
-1.94,-0.4,131.08597232938575
-1.94,-0.38,130.27622139524087
-1.94,-0.36,129.4978627093774
-1.94,-0.34,128.7595006633998
-1.94,-0.32,128.06504794739
-1.94,-0.3,127.40403171299347
-1.94,-0.28,126.78939278507502
-1.94,-0.26,126.22091234205463
-1.94,-0.24,125.689737556253
-1.94,-0.22,125.20851952238674
-1.94,-0.2,124.7721176536607
-1.94,-0.18,124.36884065057029
-1.94,-0.16,124.00871469861816
-1.94,-0.14,123.69471410899051
-1.94,-0.12,123.41116020033104
-1.94,-0.1,123.17317936000845
-1.94,-0.08,122.98159237475875
-1.94,-0.06,122.84985628921908
-1.94,-0.04,122.76142084136671
-1.94,-0.02,122.71979521017201
-1.94,-0.0,122.71279081461776
-1.94,0.02,122.7680152974324
-1.94,0.04,122.86161116289121
-1.94,0.06,122.99363462990806
-1.94,0.08,123.1470101035443
-1.94,0.1,123.34306983584197
-1.94,0.12,123.55743464374602
-1.94,0.14,123.80942198751555
-1.94,0.16,124.09801897089108
-1.94,0.18,124.46069982367077
-1.94,0.2,124.86956489520476
-1.94,0.22,125.34262488066472
-1.94,0.24,125.84369141566768
